alpha,mode,use_networkx,n,d,outlier_scale,exp_single_dL,exp_single_lambda,exp_list_T,exp_list_R,exp_list_lambda,ols_err,ols_mse,ridge_err,ridge_mse,huber_err,huber_mse,ransac_err,ransac_mse,theilsen_err,theilsen_mse,exp_single_err,exp_single_mse,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,uniform,0,5000,20,5.0,2,0.0001,7,10,0.001,2.7131253642242514,7.724653063447135,2.712962394998362,7.723327149412188,2.5187008286123675,6.665357609606912,4.062046430078271,17.509262110686414,2.6625451809311125,7.404763098628051,2.726566974052629,7.801039669022162,10,1.4128026335933317,2.1334218753216954
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,2.72416417510211,7.7781252317346015,2.7249556132508554,7.783201682364064,1.8830341857324264,3.713723813270346,10.519301389103637,112.86579279110533,2.751704467438248,7.790311237542932,2.778018531539446,8.06343325366023,10,0.8418518573032614,0.7617991044908705
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,2.763851039317961,7.978425760522405,2.765268528463734,7.987869113097906,1.9273455914553481,3.8569059909181913,16.0196291499732,263.27532432448106,2.917838650272651,8.67765510793793,2.8511049253834773,8.457796335890517,10,1.2097056289698378,1.3985258891709171
0.3,uniform,0,5000,20,5.0,2,0.0001,7,10,0.001,2.7131253642242514,7.724653063447135,2.712962394998362,7.723327149412188,2.5187008286123675,6.665357609606912,4.062046430078271,17.509262110686414,2.6625451809311125,7.404763098628051,2.726566974052629,7.801039669022162,10,1.4128026335933317,2.1334218753216954
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,2.72416417510211,7.7781252317346015,2.7249556132508554,7.783201682364064,1.8830341857324264,3.713723813270346,10.519301389103637,112.86579279110533,2.751704467438248,7.790311237542932,2.778018531539446,8.06343325366023,10,0.8418518573032614,0.7617991044908705
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,2.763851039317961,7.978425760522405,2.765268528463734,7.987869113097906,1.9273455914553481,3.8569059909181913,16.0196291499732,263.27532432448106,2.917838650272651,8.67765510793793,2.8511049253834773,8.457796335890517,10,1.2097056289698378,1.3985258891709171
