alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_r,exp_list_theta,exp_list_rho,exp_list_cluster_radius,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
0.65,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.3384146441224205,0.11356872096715051,2
0.65,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.9417907717594902,0.8682805127958831,3
0.65,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7620369522911082,0.5603990299231965,4
0.65,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.5975655834724566,0.23457507921961432,0.40980611361939817,0.2835270509032085
0.6,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6257306287506391,0.39097601680728045,0
0.6,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.32389366187314994,0.10389021914439747,1
0.6,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6163584716796466,0.3799559414946846,2
0.6,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7057099945277552,0.48541701730067005,3
0.6,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7277501908605314,0.5075955279607635,4
0.6,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.5998885895383445,0.14467828237294003,0.3735669445415592,0.14390519882876596
0.55,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.504812179099008,0.2574787238344818,0
0.55,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.37836902106860304,0.14053556218426716,1
0.55,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7110748821287884,0.48422064976904394,2
0.55,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7576851781176377,0.5950277718135724,3
0.55,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8254238737381707,0.6635050339363325,4
0.55,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.6354730268304415,0.16727671780402711,0.42815354830753954,0.19911546889944637
0.5,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8110426555313162,0.6976453721125079,0
0.5,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.49180297911530046,0.23746738585297864,1
0.5,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6866951728298407,0.4797744250832338,2
0.5,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6235072622866069,0.3953163958636077,3
0.5,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8138236095285655,0.6650944946944289,4
